date,location,severity,country
2022-08-19,Rivers,Moderate,Nigeria
2022-08-27,Rivers,Moderate,Nigeria
2022-08-28,Benue,Moderate,Nigeria
2022-09-06,Rivers,Moderate,Nigeria
2022-09-06,Lagos,High,Nigeria
2022-09-11,Rivers,Moderate,Nigeria
2022-09-14,Benue,Moderate,Nigeria
2022-09-19,Rivers,Moderate,Nigeria
2022-09-22,Benue,High,Nigeria
2022-09-24,Rivers,High,Nigeria
2022-10-03,Bayelsa,High,Nigeria
2022-11-07,Bayelsa,High,Nigeria
2022-11-08,Rivers,High,Nigeria
2022-11-08,Benue,Moderate,Nigeria
2022-11-13,Lagos,Moderate,Nigeria
2022-12-20,Rivers,Moderate,Nigeria
2022-12-23,Bayelsa,Moderate,Nigeria
2022-12-29,Rivers,High,Nigeria
2022-12-29,Lagos,High,Nigeria
2023-01-02,Bayelsa,Moderate,Nigeria
2023-01-22,Rivers,Moderate,Nigeria
2023-01-23,Bayelsa,Moderate,Nigeria
2023-01-24,Lagos,Moderate,Nigeria
2023-02-07,Lagos,High,Nigeria
2023-02-09,Rivers,Moderate,Nigeria
2023-02-14,Rivers,Moderate,Nigeria
2023-02-21,Rivers,Moderate,Nigeria
2023-02-24,Rivers,Moderate,Nigeria
