date,country,location,severity,id,city,timestamp,temperature,humidity,precipitation,flood_risk
2020-05-06,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-07-21,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2022-03-16,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-03-06,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-12-16,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-08-25,Nigeria,Lagos,High,301.0,Lagos,2017-08-25,0.35772508315523055,0.6243786482418052,0.0008761170563592424,1
2019-01-14,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-07-13,Nigeria,Benue,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-03-05,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-01-27,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-09-24,Nigeria,Bayelsa,Medium,2999.0,Bayelsa,2016-09-24,0.3364087363586057,0.6677806777201409,0.05791133691823715,1
2016-07-11,Nigeria,Benue,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-12-30,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-08-29,Nigeria,Rivers,Medium,1409.0,Rivers,2019-08-29,0.26114025150861675,0.9356539490356193,8.761170563592424e-05,1
2022-09-11,Nigeria,Rivers,Medium,1698.0,Rivers,2022-09-11,0.3995042835970706,0.5952771851547016,0.0014017872791506842,1
2015-08-24,Nigeria,Rivers,Medium,1036.0,Rivers,2015-08-24,0.37025606825057444,0.711468610229697,0.009900122905895698,1
2022-09-19,Nigeria,Rivers,Medium,1706.0,Rivers,2022-09-19,0.3900578764467699,0.5860443582884809,8.761170563592424e-05,1
2020-06-01,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-11-11,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-10-10,Nigeria,Lagos,Medium,439.0,Lagos,2018-10-10,0.7778851193254717,0.49617009064425677,0.0035044681519429445,1
2022-03-03,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-05-03,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
